Date,Open,High,Low,Close,Volume
2011-11-04,5332.27,5349.84,5287.3,5311.0,0
2011-11-03,5266.17,5295.7,5226.81,5284.35,0
2011-11-02,5241.1,5311.96,5241.1,5272.8,0
2011-11-01,5295.02,5326.14,5255.01,5275.34,0
2011-10-31,5355.97,5362.51,5322.82,5334.13,0
2011-10-28,5301.32,5372.22,5301.32,5356.26,0
2011-10-26,5213.87,5225.74,5205.61,5209.79,0
2011-10-25,5129.91,5210.64,5097.59,5193.62,0
2011-10-24,5125.23,5162.45,5100.71,5111.5,0
2011-10-21,5126.43,5145.29,5062.0,5071.45,0
2011-10-20,5118.57,5122.51,5065.06,5117.3,0
2011-10-19,5099.56,5166.24,5099.56,5160.68,0
2011-10-18,5094.51,5094.51,5043.91,5067.88,0
2011-10-17,5183.7,5187.84,5119.94,5145.64,0
2011-10-14,5099.91,5170.12,5099.25,5162.67,0
2011-10-13,5152.83,5167.92,5104.34,5112.6,0
2011-10-12,5041.24,5139.76,5035.3,5132.0,0
2011-10-11,5038.72,5076.85,5003.65,5013.39,0
2011-10-10,4931.34,5019.04,4918.63,5011.14,0
2011-10-07,4907.32,4961.01,4900.95,4923.73,0
2011-10-05,4852.65,4872.59,4794.95,4804.13,0
2011-10-04,4891.61,4928.26,4796.14,4827.71,0
2011-10-03,4950.13,4950.13,4883.18,4908.64,0
2011-09-30,5042.37,5077.04,4982.38,4995.66,0
2011-09-29,4991.84,5078.44,4968.33,5065.88,0
2011-09-28,5066.52,5066.52,4983.93,5005.52,0
2011-09-27,4963.45,5042.42,4963.45,5033.4,0
2011-09-26,4957.47,4957.47,4833.73,4905.76,0
2011-09-23,4964.0,5006.22,4908.5,4947.07,0
2011-09-22,5142.04,5142.04,4985.86,4998.15,0
2011-09-21,5206.72,5230.43,5180.04,5201.26,0
2011-09-20,5107.6,5208.79,5106.43,5200.6,0
2011-09-19,5131.88,5131.88,5091.63,5101.32,0
2011-09-16,5175.62,5198.84,5134.65,5147.98,0
2011-09-15,5105.23,5147.46,5041.84,5134.97,0
2011-09-14,5024.47,5087.36,4988.64,5075.57,0
2011-09-13,5041.7,5096.06,4982.86,5009.96,0
2011-09-12,5077.2,5077.2,4987.03,5013.12,0
2011-09-09,5223.99,5231.49,5115.64,5125.15,0
2011-09-08,5205.15,5232.34,5170.19,5217.31,0
2011-09-07,5138.27,5215.95,5138.27,5190.98,0
2011-09-06,5074.61,5129.88,5020.6,5123.03,0
2011-09-05,5069.98,5098.7,5043.52,5086.93,0
2011-09-02,5132.47,5133.34,5064.26,5103.67,0
2011-08-30,5027.55,5073.15,4993.13,5062.17,0
2011-08-29,4876.36,4996.58,4876.36,4986.08,0
2011-08-26,4923.48,4946.69,4797.15,4820.34,0
2011-08-25,4976.55,4989.5,4910.25,4921.48,0
2011-08-24,5018.04,5041.73,4952.29,4962.1,0
2011-08-23,5002.21,5036.02,4941.43,5018.36,0
2011-08-22,4924.56,4982.77,4886.59,4976.41,0
2011-08-19,4950.55,4963.49,4871.56,4921.05,0
2011-08-18,5134.92,5136.67,4995.53,5007.55,0
2011-08-17,5116.49,5171.97,5085.96,5118.86,0
2011-08-16,5193.36,5202.89,5089.23,5104.92,0
2011-08-12,5254.69,5254.69,5137.52,5150.3,0
2011-08-11,5214.14,5254.54,5201.78,5210.11,0
2011-08-10,5245.44,5256.45,5200.57,5233.14,0
2011-08-09,5073.98,5233.81,5035.46,5150.83,0
2011-08-08,5181.23,5271.96,5125.42,5194.96,0
2011-08-05,5308.89,5308.89,5185.74,5282.04,0
2011-08-04,5470.84,5494.78,5388.13,5394.98,0
2011-08-03,5468.42,5471.32,5432.45,5460.06,0
2011-08-02,5551.25,5551.25,5480.63,5502.5,0
2011-08-01,5568.18,5602.55,5533.77,5558.71,0
2011-07-29,5552.83,5588.0,5524.39,5531.69,0
2011-07-28,5586.7,5588.75,5550.23,5556.11,0
2011-07-27,5653.93,5655.71,5594.56,5618.94,0
2011-07-26,5743.58,5759.19,5629.73,5641.15,0
2011-07-25,5696.79,5752.38,5678.63,5737.54,0
2011-07-22,5627.41,5695.87,5627.41,5690.77,0
2011-07-21,5626.1,5639.35,5593.35,5599.66,0
2011-07-20,5703.46,5708.71,5619.36,5624.94,0
2011-07-19,5644.96,5693.1,5635.13,5678.19,0
2011-07-18,5656.96,5673.9,5632.77,5642.14,0
2011-07-15,5685.84,5728.71,5636.67,5649.57,0
2011-07-14,5642.25,5714.79,5612.79,5665.1,0
2011-07-13,5606.56,5657.47,5606.56,5650.34,0
2011-07-12,5626.42,5642.99,5563.88,5590.51,0
2011-07-11,5705.82,5706.36,5657.79,5669.86,0
2011-07-08,5786.09,5791.77,5702.49,5712.78,0
2011-07-07,5696.82,5789.01,5696.82,5784.76,0
2011-07-06,5689.4,5717.61,5675.71,5686.09,0
2011-07-05,5715.21,5715.21,5675.85,5693.3,0
2011-07-04,5711.44,5731.94,5696.06,5709.88,0
2011-07-01,5717.27,5735.25,5662.57,5680.27,0
2011-06-30,5658.7,5694.19,5655.73,5686.25,0
2011-06-29,5613.31,5653.51,5613.31,5648.01,0
2011-06-28,5603.43,5618.62,5558.94,5599.35,0
2011-06-27,5499.18,5602.87,5499.18,5584.34,0
2011-06-24,5393.05,5527.98,5393.05,5523.08,0
2011-06-23,5334.89,5385.75,5311.82,5374.86,0
2011-06-22,5368.49,5376.68,5325.8,5340.59,0
2011-06-21,5351.5,5393.21,5330.67,5345.71,0
2011-06-20,5457.26,5457.26,5275.65,5334.08,0
2011-06-17,5494.23,5497.96,5436.45,5442.9,0
2011-06-16,5508.23,5525.21,5470.85,5477.92,0
2011-06-15,5580.72,5580.72,5522.29,5526.36,0
2011-06-14,5567.06,5601.78,5567.06,5582.51,0
2011-06-13,5555.36,5572.72,5517.37,5563.33,0
2011-06-10,5598.81,5599.71,5538.7,5561.67,0
2011-06-09,5602.66,5617.22,5581.72,5597.6,0
2011-06-08,5616.81,5635.07,5594.32,5603.3,0
2011-06-07,5585.97,5638.92,5585.97,5628.65,0
2011-06-06,5584.79,5609.5,5554.61,5600.91,0
2011-06-03,5645.28,5683.58,5583.4,5591.74,0
2011-06-02,5625.53,5646.71,5607.32,5630.83,0
2011-06-01,5644.23,5676.99,5641.84,5668.15,0
2011-05-31,5558.14,5641.95,5558.14,5638.15,0
2011-05-30,5554.09,5579.04,5534.72,5549.7,0
2011-05-27,5487.8,5547.13,5487.8,5540.68,0
2011-05-26,5437.13,5478.43,5428.24,5471.96,0
2011-05-25,5453.5,5453.5,5403.47,5418.44,0
2011-05-24,5454.82,5481.9,5435.82,5460.2,0
2011-05-23,5528.35,5528.35,5440.01,5449.28,0
2011-05-20,5505.66,5571.81,5496.7,5543.09,0
2011-05-19,5506.22,5516.88,5478.24,5491.47,0
2011-05-18,5523.12,5535.09,5472.68,5487.13,0
